Cancel Date,Code,Service,Staff,Booking Date,Canceled By,Days
05/22/2018,MASA01,CFC,JOANNE,05/24/2018,ADMIN,2
06/27/2018,MASA01,CBAL,KELLY,06/27/2018,ADMIN,0
07/03/2018,MASA01,SHCM,BECKY,07/10/2018,BECKY,7
07/10/2018,MASA01,SHCC,JJ,07/11/2018,KELLY,1
07/24/2018,TRUA01,SHCM,KELLY,07/24/2018,TANYA,0
07/27/2018,GOOA01,SHCW,JJ,07/28/2018,TANYA,1
04/13/2018,MOLA01,SHCW,JJ,04/20/2018,BECKY,7
07/21/2018,?A01,SBD,KELLY,07/21/2018,TANYA,0
07/07/2018,ABL*01,SBD,KELLY,07/07/2018,JJ,0
04/04/2018,SARA01,CBAL,KELLY,04/04/2018,KELLY,0
06/14/2018,TAA01,CDPB,JOANNE,06/14/2018,JOANNE,0
07/19/2018,LIAA01,FRI,JJ,07/19/2018,TANYA,0
06/30/2018,TAMA01,SHCW,KELLY,06/30/2018,BECKY,
06/30/2018,TAMA01,CBAL,KELLY,06/30/2018,BECKY,
07/10/2018,JACA01,SHCW,JJ,07/11/2018,BECKY,1
07/10/2018,JACA01,SHCW,JJ,07/11/2018,BECKY,1
07/10/2018,JACA01,CFC,JOANNE,07/11/2018,BECKY,1
07/10/2018,JACA01,SHCW,JJ,07/11/2018,JJ,1
07/10/2018,JACA01,SHCW,JJ,07/11/2018,JJ,1
07/10/2018,JACA01,CFC,JOANNE,07/11/2018,JJ,1
07/12/2018,JACA01,SHCW,JJ,07/12/2018,KELLY,0
07/24/2018,GOOA02,SHCW,JJ,07/26/2018,TANYA,2
05/31/2018,PAUB01,CBAL,KELLY,05/31/2018,JJ,0
05/21/2018,HIMB01,SHCW,JJ,05/22/2018,JJ,1
05/08/2018,CARB01,CON,BECKY,05/08/2018,JJ,0
05/08/2018,DONB01,SBD,SINEAD,05/12/2018,SINEAD,4
05/08/2018,DONB01,CHLPL,JOANNE,05/12/2018,SINEAD,4
05/17/2018,DONB01,SHCW,JJ,05/17/2018,BECKY,0
05/17/2018,DONB01,CCO,JOANNE,05/17/2018,BECKY,0
05/18/2018,DONB01,CBAL,KELLY,05/18/2018,BECKY,0
05/18/2018,DONB01,CHLPHC,JOANNE,06/05/2018,JOANNE,18
06/01/2018,DONB01,SMO,BECKY,06/01/2018,BECKY,0
04/10/2018,MOIB01,CTU,KELLY,04/26/2018,JJ,16
05/28/2018,MOIB01,SHCW,SINEAD,05/30/2018,JJ,2
07/09/2018,ELCB01,CTU,JOANNE,07/10/2018,JJ,1
06/07/2018,COLB01,SHCM,JJ,06/07/2018,KELLY,0
07/10/2018,INFB01,CON,KELLY,07/13/2018,BECKY,3
05/22/2018,HENB01,SHCM,JJ,06/05/2018,JJ,14
06/19/2018,HENB01,SHCM,JJ,06/19/2018,JJ,0
05/10/2018,BHAB01,SDUD,BECKY,05/17/2018,JJ,7
05/29/2018,WALC01,SBD,BECKY,05/29/2018,JJ,0
07/10/2018,SCHC01,CALC,JOANNE,07/27/2018,KELLY,17
07/10/2018,SCHC01,CALC,JOANNE,07/13/2018,KELLY,3
07/19/2018,OZDC02,CDPB,JOANNE,07/19/2018,KELLY,0
03/27/2018,WIL*01,SHCW,JJ,03/29/2018,JJ,2
06/28/2018,MEIC01,SHCM,KELLY,06/28/2018,KELLY,0
06/29/2018,GAD*01,CFC,JOANNE,06/29/2018,BECKY,0
04/12/2018,CHOC01,SHCW,BECKY,04/13/2018,JJ,1
06/30/2018,WOOD02,SBD,JJ,06/30/2018,JJ,0
07/15/2018,WOOD02,SBD,BECKY,07/15/2018,JJ,0
05/24/2018,JOHD01,SHCM,SINEAD,05/31/2018,JJ,7
07/17/2018,FLAD01,SHCM,BECKY,08/25/2018,JJ,39
05/02/2018,GUYD01,SHCM,BECKY,05/03/2018,JJ,1
05/02/2018,GUYD01,CCAMO,BECKY,05/03/2018,JJ,1
04/25/2018,ROLD01,SHCM,JJ,04/25/2018,SINEAD,0
07/17/2018,THOD01,SHCM,JJ,07/17/2018,JOANNE,0
07/13/2018,LAMD01,CON,JOANNE,07/14/2018,BECKY,1
07/13/2018,LAMD01,CBAL,JOANNE,07/13/2018,BECKY,0
04/27/2018,GOSD01,SHCW,JJ,05/17/2018,BECKY,20
05/08/2018,SKUD01,SBD,BECKY,05/12/2018,SINEAD,4
05/18/2018,SKUD01,SBD,BECKY,05/26/2018,JJ,8
07/19/2018,SKUD01,SBD,BECKY,07/19/2018,TANYA,0
05/17/2018,HILD01,SBD,KELLY,05/31/2018,ADMIN,14
05/17/2018,HILD01,CHLPHC,JOANNE,05/31/2018,ADMIN,14
05/28/2018,HILD01,SBD,BECKY,05/29/2018,JJ,1
06/25/2018,DUFD01,CON,JJ,06/29/2018,JJ,4
06/02/2018,CHAD01,SHCW,KELLY,06/09/2018,SINEAD,7
06/02/2018,CHAD01,CHLPL,JOANNE,06/09/2018,SINEAD,7
06/22/2018,PET*01,SHCW,JJ,06/22/2018,KELLY,0
07/12/2018,PET*01,SHCW,JJ,07/14/2018,TANYA,2
04/04/2018,KEN*01,SHCW,SINEAD,05/29/2018,KELLY,55
05/23/2018,KEN*01,CBAL,JOANNE,05/29/2018,KELLY,6
05/04/2018,CAND01,CCAMO,JJ,05/04/2018,JJ,0
07/13/2018,CAND01,CCAMO,JJ,07/13/2018,TANYA,0
04/28/2018,TAYE01,SHCM,JJ,04/28/2018,JJ,0
05/22/2018,MENE01,SHCW,SINEAD,05/23/2018,ADMIN,1
07/17/2018,PAE01,SHCW,KELLY,09/21/2018,JJ,66
05/05/2018,IRWE01,CON,JOANNE,06/02/2018,JJ,28
06/21/2018,VARE01,SHCW,JJ,06/21/2018,BECKY,0
07/27/2018,JONE01,SMARTBOND,KELLY,07/27/2018,KELLY,0
04/22/2018,BREF01,SHCM,JJ,04/24/2018,JJ,2
04/03/2018,BUDG02,SHCM,SINEAD,04/21/2018,BECKY,18
06/14/2018,COLG01,SBD,BECKY,06/21/2018,BECKY,7
04/03/2018,STRH01,CHLFH,KELLY,04/04/2018,JJ,1
07/03/2018,BREH01,SBD,JJ,07/07/2018,BECKY,4
04/11/2018,HENI01,SHCW,JJ,05/03/2018,SINEAD,22
06/30/2018,WOOJ02,SHCM,BECKY,06/30/2018,JJ,0
05/24/2018,THOJ01,TRE 1,SINEAD,05/24/2018,JJ,0
06/28/2018,OHA*01,SHCC,BECKY,06/29/2018,KELLY,1
05/25/2018,MAEJ01,CFC,BECKY,06/02/2018,JJ,8
07/18/2018,BORJ01,SHCM,JJ,07/18/2018,JJ,0
04/28/2018,BISJ01,SBD,JJ,04/28/2018,SINEAD,0
07/21/2018,DACJ01,SHCW,BECKY,07/24/2018,KELLY,3
04/03/2018,HILJ01,CFC,KELLY,04/03/2018,JJ,0
04/11/2018,HILJ01,SBD,SINEAD,04/11/2018,ADMIN,0
05/17/2018,HILJ01,CHLPHC,JOANNE,05/19/2018,BECKY,2
07/05/2018,HILJ01,SBD,BECKY,07/10/2018,BECKY,5
07/11/2018,HOFJ01,SBD,TANYA,07/11/2018,TANYA,0
06/28/2018,HELJ01,SHCM,BECKY,06/30/2018,BECKY,2
05/29/2018,SCHJ01,SHCM,JJ,05/29/2018,JJ,0
06/09/2018,SCHJ01,SHCM,JJ,06/12/2018,ADMIN,3
06/09/2018,SCHJ01,CCAMO,JJ,06/12/2018,ADMIN,3
06/02/2018,YANJ01,SHCW,KELLY,06/02/2018,JJ,0
05/31/2018,NGUJ01,CDPB,KELLY,06/06/2018,KELLY,6
06/14/2018,WOOJ01,CTU,JOANNE,06/22/2018,BECKY,8
06/14/2018,WOOJ01,SBD,JJ,06/22/2018,BECKY,8
07/17/2018,LEEJ02,SHCM,JJ,07/24/2018,KELLY,7
07/24/2018,HENK01,SHCW,JJ,07/31/2018,TANYA,7
07/24/2018,HENK01,CHLPL,JOANNE,07/24/2018,TANYA,0
07/24/2018,HENK01,CHLPL,JOANNE,07/31/2018,TANYA,7
06/19/2018,CARK01,SBD,KELLY,06/20/2018,BECKY,1
06/21/2018,CARK01,SBD,KELLY,06/27/2018,JJ,6
07/12/2018,CARK01,SBD,KELLY,07/12/2018,TANYA,0
04/18/2018,KUKK01,SBD,SINEAD,04/26/2018,SINEAD,8
05/18/2018,KUKK01,SBD,BECKY,07/03/2018,JOANNE,46
05/18/2018,KUKK01,SBD,BECKY,07/10/2018,JOANNE,53
05/30/2018,KUKK01,SBD,BECKY,06/05/2018,SINEAD,6
07/17/2018,KUKK01,SBD,BECKY,07/24/2018,JJ,7
07/17/2018,KUKK01,SBD,BECKY,07/31/2018,JJ,14
07/17/2018,KUKK01,SBD,KELLY,07/25/2018,JJ,8
07/17/2018,KUKK01,SBD,KELLY,07/26/2018,JJ,9
07/17/2018,KUKK01,CALC,JOANNE,07/24/2018,JJ,7
07/17/2018,KUKK01,CALC,JOANNE,07/25/2018,JJ,8
07/17/2018,KUKK01,CALC,JOANNE,07/26/2018,JJ,9
05/26/2018,SPEK01,CTU,JJ,07/26/2018,ADMIN,61
06/28/2018,MARK01,SHCW,BECKY,06/28/2018,BECKY,0
05/15/2018,SHAL01,SHCW,JJ,05/22/2018,JJ,7
06/01/2018,WINL01,SHCW,BECKY,06/26/2018,BECKY,25
05/17/2018,HOLL01,SBD,SINEAD,05/31/2018,BECKY,14
05/17/2018,HOLL01,CHLPHC,JOANNE,05/31/2018,BECKY,14
06/12/2018,HOLL01,SBD,BECKY,06/14/2018,JJ,2
06/19/2018,HOLL01,SBD,BECKY,06/21/2018,JOANNE,2
05/04/2018,MCPL01,SBD,BECKY,05/08/2018,JJ,4
06/01/2018,VARL01,CFC,KELLY,06/02/2018,KELLY,1
04/27/2018,LEGL01,SHCW,SINEAD,04/28/2018,JJ,1
07/17/2018,STEL01,SHCW,JJ,07/17/2018,KELLY,0
07/21/2018,NEEL01,SHCW,JJ,07/28/2018,KELLY,7
06/22/2018,.L01,SHCW,JJ,06/27/2018,KELLY,5
07/04/2018,WANM01,SHCW,BECKY,07/06/2018,ADMIN,2
06/14/2018,TUMM01,CFC,JOANNE,06/16/2018,JJ,2
07/25/2018,TUMM01,CTU,JOANNE,08/04/2018,TANYA,10
05/18/2018,SIRM01,SBD,BECKY,06/29/2018,JOANNE,42
07/13/2018,SIRM01,SBD,BECKY,07/20/2018,JOANNE,7
04/08/2018,HUDM01,SHCW,JJ,04/08/2018,JJ,0
05/22/2018,HUDM01,SBD,BECKY,05/26/2018,JJ,4
06/14/2018,HUDM01,SBD,JJ,06/15/2018,BECKY,1
07/17/2018,HUDM01,SHCW,JJ,07/20/2018,KELLY,3
07/23/2018,HUDM01,SHCW,JJ,07/24/2018,JJ,1
06/22/2018,AURM01,SHCW,JJ,06/23/2018,ADMIN,1
04/24/2018,BUSM01,SBD,SINEAD,04/26/2018,ADMIN,2
07/09/2018,HEIM01,SHCW,BECKY,07/17/2018,JJ,8
07/25/2018,ATMM01,SBD,JJ,07/26/2018,JJ,1
05/23/2018,JAYM01,SHCW,KELLY,06/02/2018,JOANNE,10
05/23/2018,JAYM01,CT,KELLY,06/02/2018,JOANNE,10
05/10/2018,KOOM01,SHCW,JJ,04/03/2018,JJ,-37
05/04/2018,PENM01,SBD,BECKY,05/04/2018,JJ,0
05/22/2018,PENM01,SHCW,KELLY,05/23/2018,SINEAD,1
06/07/2018,PENM01,SHCW,JJ,06/22/2018,KELLY,15
06/20/2018,PENM01,CMT,JOANNE,06/22/2018,ADMIN,2
06/20/2018,PENM01,SBD,BECKY,06/22/2018,ADMIN,2
07/10/2018,MUNM01,SHCC,KELLY,07/11/2018,KELLY,1
07/03/2018,WONM02,SBD,JJ,07/21/2018,JJ,18
04/03/2018,STEM01,SHCW,BECKY,04/21/2018,JJ,18
06/11/2018,REDM01,SBD,JJ,06/23/2018,JJ,12
07/10/2018,SINM01,SHCW,JJ,07/12/2018,JJ,2
07/03/2018,DEAM01,SHCM,KELLY,07/04/2018,JJ,1
05/08/2018,KATM01,CON,JOANNE,05/10/2018,ADMIN,2
07/03/2018,KATM01,CON,JOANNE,07/03/2018,JJ,0
07/04/2018,ARRM01,CFC,JJ,07/07/2018,KELLY,3
06/02/2018,SASM01,CBAL,KELLY,06/02/2018,ADMIN,0
07/20/2018,APTM01,SHCM,JJ,07/21/2018,JOANNE,1
07/13/2018,KUCM02,CALC,JOANNE,07/17/2018,JJ,4
07/26/2018,MEYN01,SBD,KELLY,07/27/2018,KELLY,1
07/26/2018,MEYN01,CFC,JOANNE,07/27/2018,KELLY,1
07/26/2018,MEYN01,TRE 1,JOANNE,07/27/2018,KELLY,1
06/02/2018,MULN01,SDUD,JJ,06/05/2018,SINEAD,3
06/13/2018,MERN01,CFC,KELLY,06/15/2018,JJ,2
07/19/2018,TN01,CTU,TANYA,07/19/2018,TANYA,0
07/07/2018,NIDN01,CTU,JOANNE,07/17/2018,JOANNE,10
05/30/2018,KINN01,SHCW,JJ,06/01/2018,JJ,2
05/11/2018,LEEO01,SBD,BECKY,05/11/2018,JOANNE,0
06/27/2018,JENP01,SHCC,KELLY,06/28/2018,JJ,1
07/04/2018,JENP01,SHCW,JJ,07/04/2018,KELLY,0
05/02/2018,RODP01,SHCW,SINEAD,05/10/2018,SINEAD,8
05/09/2018,RODP01,CHLFH,JOANNE,05/10/2018,JJ,1
06/09/2018,MARR02,SHCW,KELLY,06/09/2018,ADMIN,0
06/15/2018,TAYR01,SHCM,JJ,06/15/2018,JJ,0
07/28/2018,WAX*01,SHCM,JJ,07/28/2018,JJ,0
07/06/2018,DAJR01,CTU,JOANNE,07/06/2018,JJ,0
07/06/2018,DAJR01,SHCW,BECKY,07/06/2018,JJ,0
06/28/2018,EZIR01,SHCW,JJ,07/07/2018,BECKY,9
05/06/2018,KIRR01,SHCM,BECKY,05/06/2018,JJ,0
05/08/2018,KIRR01,SHCM,BECKY,05/08/2018,SINEAD,0
05/11/2018,KIRR01,SHCM,BECKY,05/11/2018,JJ,0
05/23/2018,POTR01,SHCM,JJ,07/04/2018,JJ,42
05/23/2018,POTR01,SHCM,JJ,05/30/2018,JOANNE,7
07/24/2018,BLAR01,SHCM,BECKY,07/24/2018,TANYA,0
04/10/2018,DOWR01,SBD,SINEAD,04/11/2018,JJ,1
05/31/2018,DOWR01,SBD,KELLY,05/31/2018,JJ,0
04/25/2018,NIES02,SHCM,JJ,04/26/2018,SINEAD,1
05/29/2018,ZUKS01,SHCM,BECKY,05/29/2018,JJ,0
05/29/2018,ZUKS01,SHCM,BECKY,06/26/2018,JJ,28
05/25/2018,CARS01,SHCW,BECKY,05/25/2018,JOANNE,0
06/22/2018,SUNS01,SHCW,KELLY,06/27/2018,BECKY,5
07/03/2018,SUNS01,SHCW,KELLY,07/03/2018,JJ,0
05/10/2018,NGUS01,SHCW,JJ,05/11/2018,SINEAD,1
05/10/2018,NGUS01,CTU,JOANNE,05/11/2018,SINEAD,1
07/03/2018,DEYS01,CHLPL,JOANNE,07/03/2018,JJ,0
06/02/2018,BROS01,SBD,BECKY,06/05/2018,JJ,3
06/14/2018,BROS01,SBD,BECKY,06/14/2018,BECKY,0
07/14/2018,BROS01,SBD,BECKY,07/17/2018,JJ,3
07/14/2018,BROS01,SBD,BECKY,07/27/2018,JJ,13
07/23/2018,BROS01,SBD,BECKY,07/28/2018,JJ,5
07/28/2018,BROS01,SHCW,BECKY,07/31/2018,JJ,3
06/05/2018,TAGS02,SHCW,KELLY,06/05/2018,JJ,0
06/05/2018,TAGS02,CFC,KELLY,06/05/2018,JJ,0
07/13/2018,SHMS01,SHCM,KELLY,07/13/2018,KELLY,0
04/22/2018,COLS01,SBD,BECKY,04/22/2018,BECKY,0
06/12/2018,HUDS01,CFC,JJ,06/15/2018,JJ,3
06/14/2018,HUDS01,SBD,JJ,06/15/2018,ADMIN,1
07/10/2018,KEIS01,SHCW,BECKY,07/19/2018,JJ,9
07/10/2018,KEIS01,SBD,TANYA,07/18/2018,JJ,8
06/07/2018,BOES01,CHLPL,JOANNE,06/08/2018,KELLY,1
06/06/2018,ERWS01,SHCW,JJ,06/09/2018,JJ,3
06/06/2018,ERWS01,CTU,JOANNE,06/09/2018,JJ,3
07/17/2018,FLAS01,SHCM,BECKY,08/28/2018,JJ,42
07/27/2018,INGS01,CHLHH,TANYA,07/27/2018,JOANNE,0
07/21/2018,DES01,SBD,KELLY,07/21/2018,KELLY,0
07/21/2018,DES01,CALC,JOANNE,07/21/2018,KELLY,0
06/29/2018,TOPS01,SHCW,BECKY,06/30/2018,ADMIN,1
07/13/2018,TOPS01,CBAL,JOANNE,07/14/2018,JJ,1
05/02/2018,NELT01,SBD,SINEAD,05/03/2018,JJ,1
05/05/2018,NELT01,SBD,BECKY,05/06/2018,JJ,1
05/12/2018,NELT01,SBD,SINEAD,05/17/2018,JJ,5
05/16/2018,NELT01,SBD,SINEAD,05/23/2018,SINEAD,7
05/26/2018,NELT01,SBD,SINEAD,05/29/2018,KELLY,3
07/03/2018,NELT01,SBD,BECKY,07/03/2018,JOANNE,0
05/30/2018,BROT01,SHCW,SINEAD,06/02/2018,SINEAD,3
05/06/2018,ROUT01,SBD,JJ,05/06/2018,JJ,0
06/07/2018,ALCV01,CFC,KELLY,06/07/2018,KELLY,0
06/26/2018,FISV01,CFC,JOANNE,06/30/2018,JJ,4
05/04/2018,MCGV01,SBD,BECKY,05/04/2018,JJ,0
05/18/2018,MIRY01,CDPB,JOANNE,05/19/2018,JOANNE,1